,MSE_tensorflow,R2_tensorflow,MSE_own_NN,R2_own_NN,parameters_own_NN,neurons_first_hidden,learning_rate,regularization
115,0.8963,0.122,1.0137,0.007,65.0,16.0,0.004641588833612782,0.1
116,0.8972,0.1212,1.0128,0.008,65.0,16.0,0.0021544346900318843,0.1
117,0.9599,0.0598,1.0111,0.0096,65.0,16.0,0.001,0.1
118,1.0355,-0.0143,1.009,0.0117,65.0,16.0,0.0004641588833612782,0.1
119,1.026,-0.005,1.0075,0.0132,65.0,16.0,0.00021544346900318845,0.1
120,0.9924,0.0279,1.0091,0.0116,65.0,16.0,0.0001,0.1
121,1.0352,-0.014,0.7123,0.3023,129.0,32.0,0.5,0.0
122,0.4724,0.5373,0.7653,0.2503,129.0,32.0,0.1,0.0
123,0.7392,0.2759,0.7882,0.228,129.0,32.0,0.046415888336127795,0.0
124,0.8646,0.1532,0.8039,0.2125,129.0,32.0,0.021544346900318846,0.0
125,0.8691,0.1487,0.823,0.1938,129.0,32.0,0.01,0.0
126,0.8766,0.1413,0.8652,0.1526,129.0,32.0,0.004641588833612782,0.0
127,0.8849,0.1332,0.9543,0.0653,129.0,32.0,0.0021544346900318843,0.0
128,0.9124,0.1062,0.989,0.0313,129.0,32.0,0.001,0.0
129,0.9519,0.0676,0.9989,0.0216,129.0,32.0,0.0004641588833612782,0.0
130,0.9584,0.0612,1.0028,0.0178,129.0,32.0,0.00021544346900318845,0.0
131,1.0613,-0.0396,1.0045,0.0161,129.0,32.0,0.0001,0.0
132,1.0644,-0.0426,0.7124,0.3022,129.0,32.0,0.5,1e-05
133,0.5012,0.509,0.7654,0.2503,129.0,32.0,0.1,1e-05
134,0.7118,0.3028,0.7882,0.228,129.0,32.0,0.046415888336127795,1e-05
135,0.8671,0.1507,0.8039,0.2125,129.0,32.0,0.021544346900318846,1e-05
136,0.8735,0.1444,0.8231,0.1938,129.0,32.0,0.01,1e-05
137,0.8761,0.1418,0.8652,0.1525,129.0,32.0,0.004641588833612782,1e-05
138,0.883,0.1351,0.9543,0.0652,129.0,32.0,0.0021544346900318843,1e-05
139,0.9349,0.0843,0.989,0.0313,129.0,32.0,0.001,1e-05
140,0.9578,0.0618,0.9989,0.0216,129.0,32.0,0.0004641588833612782,1e-05
141,0.9741,0.0458,1.0028,0.0178,129.0,32.0,0.00021544346900318845,1e-05
142,1.0625,-0.0408,1.0045,0.0161,129.0,32.0,0.0001,1e-05
143,1.0211,-0.0002,0.7124,0.3021,129.0,32.0,0.5,2.782559402207126e-05
144,0.5072,0.5032,0.7655,0.2502,129.0,32.0,0.1,2.782559402207126e-05
145,0.6851,0.3289,0.7882,0.2279,129.0,32.0,0.046415888336127795,2.782559402207126e-05
146,0.8738,0.1441,0.804,0.2125,129.0,32.0,0.021544346900318846,2.782559402207126e-05
147,0.8706,0.1473,0.8231,0.1937,129.0,32.0,0.01,2.782559402207126e-05
148,0.876,0.142,0.8653,0.1524,129.0,32.0,0.004641588833612782,2.782559402207126e-05
149,0.8943,0.124,0.9544,0.0651,129.0,32.0,0.0021544346900318843,2.782559402207126e-05
150,0.9114,0.1072,0.989,0.0313,129.0,32.0,0.001,2.782559402207126e-05
151,0.9419,0.0774,0.9989,0.0216,129.0,32.0,0.0004641588833612782,2.782559402207126e-05
152,0.9475,0.0719,1.0028,0.0178,129.0,32.0,0.00021544346900318845,2.782559402207126e-05
153,1.0183,0.0025,1.0045,0.0161,129.0,32.0,0.0001,2.782559402207126e-05
154,1.0235,-0.0025,0.7127,0.3019,129.0,32.0,0.5,7.742636826811278e-05
155,0.548,0.4632,0.7657,0.25,129.0,32.0,0.1,7.742636826811278e-05
156,0.8348,0.1823,0.7884,0.2278,129.0,32.0,0.046415888336127795,7.742636826811278e-05
157,0.8627,0.1549,0.8041,0.2124,129.0,32.0,0.021544346900318846,7.742636826811278e-05
158,0.8666,0.1511,0.8233,0.1936,129.0,32.0,0.01,7.742636826811278e-05
159,0.8751,0.1428,0.8656,0.1521,129.0,32.0,0.004641588833612782,7.742636826811278e-05
160,0.8878,0.1304,0.9547,0.0649,129.0,32.0,0.0021544346900318843,7.742636826811278e-05
161,0.9108,0.1079,0.989,0.0312,129.0,32.0,0.001,7.742636826811278e-05
162,1.005,0.0156,0.9989,0.0216,129.0,32.0,0.0004641588833612782,7.742636826811278e-05
163,0.9982,0.0222,1.0028,0.0178,129.0,32.0,0.00021544346900318845,7.742636826811278e-05
164,1.0801,-0.058,1.0045,0.0161,129.0,32.0,0.0001,7.742636826811278e-05
165,0.8823,0.1358,0.7135,0.3011,129.0,32.0,0.5,0.00021544346900318823
166,0.4619,0.5475,0.7664,0.2493,129.0,32.0,0.1,0.00021544346900318823
167,0.7017,0.3127,0.7888,0.2274,129.0,32.0,0.046415888336127795,0.00021544346900318823
168,0.8708,0.147,0.8045,0.212,129.0,32.0,0.021544346900318846,0.00021544346900318823
169,0.8775,0.1405,0.8237,0.1931,129.0,32.0,0.01,0.00021544346900318823
170,0.8761,0.1419,0.8665,0.1512,129.0,32.0,0.004641588833612782,0.00021544346900318823
171,0.8846,0.1335,0.9553,0.0642,129.0,32.0,0.0021544346900318843,0.00021544346900318823
172,0.9165,0.1022,0.9891,0.0311,129.0,32.0,0.001,0.00021544346900318823
173,0.9449,0.0744,0.9989,0.0215,129.0,32.0,0.0004641588833612782,0.00021544346900318823
174,1.0972,-0.0748,1.0028,0.0178,129.0,32.0,0.00021544346900318845,0.00021544346900318823
175,0.9157,0.1031,1.0045,0.0161,129.0,32.0,0.0001,0.00021544346900318823
176,1.0256,-0.0046,0.7164,0.2983,129.0,32.0,0.5,0.0005994842503189409
177,0.4809,0.5289,0.769,0.2467,129.0,32.0,0.1,0.0005994842503189409
178,0.7245,0.2903,0.7905,0.2256,129.0,32.0,0.046415888336127795,0.0005994842503189409
179,0.8608,0.1569,0.806,0.2105,129.0,32.0,0.021544346900318846,0.0005994842503189409
180,0.8777,0.1403,0.8254,0.1915,129.0,32.0,0.01,0.0005994842503189409
181,0.8774,0.1405,0.8693,0.1485,129.0,32.0,0.004641588833612782,0.0005994842503189409
182,0.8871,0.1311,0.9571,0.0625,129.0,32.0,0.0021544346900318843,0.0005994842503189409
183,0.9322,0.0869,0.9894,0.0308,129.0,32.0,0.001,0.0005994842503189409
184,0.9286,0.0904,0.999,0.0215,129.0,32.0,0.0004641588833612782,0.0005994842503189409
185,1.0174,0.0034,1.0028,0.0178,129.0,32.0,0.00021544346900318845,0.0005994842503189409
186,1.0317,-0.0106,1.0045,0.0161,129.0,32.0,0.0001,0.0005994842503189409
187,0.8395,0.1777,0.7301,0.2848,129.0,32.0,0.5,0.0016681005372000592
188,0.6373,0.3758,0.7799,0.2361,129.0,32.0,0.1,0.0016681005372000592
189,0.7329,0.2821,0.7988,0.2175,129.0,32.0,0.046415888336127795,0.0016681005372000592
190,0.8635,0.1542,0.8132,0.2035,129.0,32.0,0.021544346900318846,0.0016681005372000592
191,0.8721,0.1458,0.8324,0.1846,129.0,32.0,0.01,0.0016681005372000592
192,0.8736,0.1443,0.8782,0.1398,129.0,32.0,0.004641588833612782,0.0016681005372000592
193,0.8808,0.1373,0.9616,0.0581,129.0,32.0,0.0021544346900318843,0.0016681005372000592
194,0.9408,0.0785,0.9903,0.03,129.0,32.0,0.001,0.0016681005372000592
195,0.9199,0.0989,0.9992,0.0213,129.0,32.0,0.0004641588833612782,0.0016681005372000592
196,0.9373,0.0819,1.0028,0.0177,129.0,32.0,0.00021544346900318845,0.0016681005372000592
197,1.0628,-0.041,1.0045,0.0161,129.0,32.0,0.0001,0.0016681005372000592
198,1.0346,-0.0134,0.7872,0.229,129.0,32.0,0.5,0.004641588833612777
199,0.8106,0.206,0.8223,0.1945,129.0,32.0,0.1,0.004641588833612777
200,0.7158,0.2988,0.8333,0.1838,129.0,32.0,0.046415888336127795,0.004641588833612777
201,0.8692,0.1486,0.8433,0.174,129.0,32.0,0.021544346900318846,0.004641588833612777
202,0.8772,0.1407,0.8597,0.1579,129.0,32.0,0.01,0.004641588833612777
203,0.8751,0.1428,0.9054,0.1132,129.0,32.0,0.004641588833612782,0.004641588833612777
204,0.8814,0.1367,0.9713,0.0486,129.0,32.0,0.0021544346900318843,0.004641588833612777
205,0.9136,0.1051,0.9923,0.0281,129.0,32.0,0.001,0.004641588833612777
206,0.9814,0.0387,0.9996,0.0208,129.0,32.0,0.0004641588833612782,0.004641588833612777
207,0.925,0.0939,1.003,0.0176,129.0,32.0,0.00021544346900318845,0.004641588833612777
208,1.039,-0.0177,1.0045,0.0161,129.0,32.0,0.0001,0.004641588833612777
209,1.0276,-0.0065,0.8846,0.1335,129.0,32.0,0.5,0.012915496650148827
210,0.7097,0.3048,0.9018,0.1167,129.0,32.0,0.1,0.012915496650148827
211,0.9077,0.1109,0.9053,0.1132,129.0,32.0,0.046415888336127795,0.012915496650148827
212,0.8846,0.1335,0.9098,0.1089,129.0,32.0,0.021544346900318846,0.012915496650148827
213,0.8746,0.1433,0.9201,0.0987,129.0,32.0,0.01,0.012915496650148827
214,0.8787,0.1393,0.9555,0.064,129.0,32.0,0.004641588833612782,0.012915496650148827
215,0.9214,0.0974,0.9864,0.0338,129.0,32.0,0.0021544346900318843,0.012915496650148827
